日付,曜日,テーマNo,テーマ ( タイトル ),AIへの命令文の例
2027/01/01,金,No.03200,透明な影を持つ木,光の当たる場所に立つ、巨大な木。その木の影が、黒ではなく、周囲の風景を歪ませる透明な物質でできており、影の中は別の世界に見える。
2027/01/02,土,No.03201,歓喜に満ちた廃墟,人々がボロボロに崩れた廃墟の中で、まるで楽園を見つけたかのように心からの喜びの表情で踊ったり、笑い合ったりしている様子を生成してください。
2027/01/03,日,No.03202,平和すぎる最前線,兵士たちが銃や戦車が並ぶ緊迫したはずの最前線で、緊張感なく昼寝をしたり、ピクニックをしたり、トランプで遊んだりしている様子。
2027/01/04,月,No.03203,葬式で微笑む人々,厳粛な葬儀の場で、参列者全員が喪服を着ているにもかかわらず、故人を偲んで悲しむどころか、穏やかで幸福そうな微笑みを浮かべている風景。
2027/01/05,火,No.03204,恐怖に満ちた遊園地,カラフルで楽しげなジェットコースターやメリーゴーランドがある遊園地で、乗客やスタッフ全員が何かに怯え、恐怖の表情を浮かべている様子。
2027/01/06,水,No.03205,燃える氷河,広大な氷河地帯が、まるで燃料のように青白い炎を上げて燃え盛っている壮大かつ矛盾した風景。氷は溶けずに燃えている。
2027/01/07,木,No.03206,液体化した鉄骨,建設中の高層ビルの鉄骨が、高温でもないのにまるで水飴のようにドロドロに溶け、垂れ下がっているシュールな光景。
2027/01/08,金,No.03207,霧でできた彫刻,濃い霧が立ち込める中で、霧そのものが集まって精巧な人物や動物の彫刻の形を成し、宙に浮かんでいる幻想的な様子。
2027/01/09,土,No.03208,錆びない湿地帯の機械,常に水に浸かっている湿地帯に、何百年も放置されたかのような古い機械やロボットが、全く錆びずに新品同様の輝きを保っている風景。
2027/01/10,日,No.03209,江戸時代の火星基地,火星の赤い大地と二つの月が浮かぶ空の下に、瓦屋根の日本家屋や城郭で構成された江戸時代の町並み風の宇宙基地が広がっている様子。
2027/01/11,月,No.03210,恐竜のいるオフィスビル,現代的な高層オフィスビルの一室で、スーツ姿の人間たちに混じって、ヴェロキラプトルがデスクでPC作業をしている風景。
2027/01/12,火,No.03211,中世の騎士とホログラムの会議,薄暗い石造りの城の円卓で、甲冑をまとった中世の騎士たちが、テーブル中央に浮かび上がる未来的なホログラムの戦略地図を囲んで議論している。
2027/01/13,水,No.03212,縄文時代の自動販売機,鬱蒼とした森の中、竪穴式住居の隣に、明らかに場違いな現代の自動販売機がポツンと置かれており、縄文人が不思議そうに眺めている。
2027/01/14,木,No.03213,騒々しい無音室,音を完全に遮断するはずの防音室（無音室）の中で、実際には何も音がしていないのに、耳を塞ぎたくなるほどの幻聴や騒音に苦しむ人物。
2027/01/15,金,No.03214,棘のある滑らかな絹,見た目は最高級の滑らかな絹織物だが、触れると無数の見えない棘が刺さるかのような痛みを伴う、という矛盾した感覚を表現した画像。
2027/01/16,土,No.03215,腐臭のする美しい花,この世のものとは思えないほど完璧な美しさで咲き誇る巨大な花。しかし、その花からは強烈な腐敗臭が漂っていることを、周囲の人々が鼻をつまむ様子で表現する。
2027/01/17,日,No.03216,苦い蜜,ミツバチが集めた黄金色の蜜が壺に満たされているが、それを舐めた人物が、想像を絶する苦さに顔を歪めている様子。
2027/01/18,月,No.03217,「偶然」を売る商人,怪しげな露天商が、瓶詰めにされた「偶然」や「幸運」を道行く人々に売ろうとしている。瓶の中身は煙や光など抽象的なもの。
2027/01/19,火,No.03218,怠惰に昼寝する「勤勉」の神,「勤勉」を司る神殿で、神々しい姿をした「勤勉」の神本人が、祭壇の上でいびきをかいて怠惰に昼寝している様子。
2027/01/20,水,No.03219,道に迷った「秩序」,コンパスや定規など、「秩序」を象徴するアイテムを身につけた擬人化された存在が、カオスな交差点の真ん中で途方に暮れて道に迷っている。
2027/01/21,木,No.03220,「虚無」で満たされた水槽,美しく装飾された水槽の中を、魚ではなく、実体のない「虚無」や「空白」が黒い影のようにゆらゆらと泳いでいる様子。
2027/01/22,金,No.03221,王に命令する道化師,玉座に座る王が、その前でふざけている道化師の顔色をうかがい、道化師の指図通りに震えながら命令を下している力関係が逆転した宮廷。
2027/01/23,土,No.03222,羊に導かれる狼の群れ,一匹の賢明な羊がリーダーとなり、獰猛なはずの狼の群れがその羊を恐れ、従順に後をついていく雪山の風景。
2027/01/24,日,No.03223,囚人が運営する刑務所,囚人服を着た人々が刑務所の管理室で監視カメラをチェックし、看守服を着た人々が独房に入れられている逆転した刑務所。
2027/01/25,月,No.03224,本に読まれている人間,巨大な本が人間を「開いて」おり、本のページに書かれた文字が人間の体に浮かび上がり、人間が物語を「読まれている」かのような光景。
2027/01/26,火,No.03225,海洋を泳ぐプランクトンサイズのクジラ,広大な海の中を、顕微鏡でしか見えないようなプランクトンサイズのシロナガスクジラが、他のプランクトンに混じって泳いでいる様子。
2027/01/27,水,No.03226,山脈のように連なる一冊の本,一冊の巨大な本が地平線の彼方まで続き、そのページがまるで山脈の尾根のように連なっている風景。人々がその「本の山脈」を登山している。
2027/01/28,木,No.03227,手のひらの上のブラックホール,ある人物が手のひらを差し出すと、その中心に空間を歪ませる小さなブラックホールが浮かんでおり、周囲の光が吸い込まれている。
2027/01/29,金,No.03228,原子サイズの銀河系,顕微鏡を覗き込むと、そこには原子核の周りを電子が回る代わりに、中心の恒星の周りを惑星が回る「原子サイズの銀河系」が観察できる。
2027/01/30,土,No.03229,触れることのできる音符,オーケストラの演奏中、楽器から放たれた音符が物理的な実体を持ち、人々がそれに触れたり、掴んだり、避けたりしている様子。
2027/01/31,日,No.03230,香りのする風景画,美術館に飾られた一枚の風景画（例：ラベンダー畑）。その絵画から、描かれた風景の香り（ラベンダーの香り）が実際に漂ってくる様子。
2027/02/01,月,No.03231,色彩豊かな味,シェフが作った料理が、口に入れると味覚ではなく、鮮やかな色彩のビジョン（花火やオーロラなど）として脳内に広がる様子を表現した画像。
2027/02/02,火,No.03232,音楽を聴くための望遠鏡,天文学者が巨大な望遠鏡を夜空に向けているが、星を見るためではなく、星々が奏でる「宇宙の音楽」を聴くために耳を澄ましている。
2027/02/03,水,No.03233,鉱物から生まれた鳥,アメジストやエメラルドのような美しい鉱物の結晶で体ができた鳥が、大空を飛んでいる。羽ばたくたびにキラキラと光を反射する。
2027/02/04,木,No.03234,雲と一体化した人々,空に浮かぶ人々。彼らの体の一部（下半身など）が積乱雲や綿雲と滑らかに融合し、雲の一部として空を漂っている。
2027/02/05,金,No.03235,意志を持つコンクリートの壁,街中のコンクリートの壁が、まるで生き物のように形を変え、人々を通せんぼしたり、逆に道を作ったりして、自らの意志で行動している。
2027/02/06,土,No.03236,蔦に覆われたサイボーグ,未来的なサイボーグの体が、半分は機械的な部品で、もう半分は緑豊かな蔦や花々に覆われ、自然と機械が融合している。
2027/02/07,日,"No.03237""",歌で火事を消す消防士,燃え盛るビル火災の前で、消防士たちが放水する代わりに、美しいハーモニーで歌い、その歌声によって炎が鎮火していく幻想的な光景。
2027/02/08,月,No.03238,爆弾で家を建てる大工,大工が家を建てるために、爆弾を爆発させている。しかし、爆発の衝撃で材料が破壊されるのではなく、奇跡的に組み合わさって家が完成していく。
2027/02/09,火,No.03239,砂時計で時間を加速させる科学者,科学者が、通常の砂時計を逆さまにすることで、研究室内の時間だけが高速で流れ、実験結果が瞬時に出る様子。
2027/02/10,水,No.03240,涙で砂漠を緑化する試み,広大な砂漠の真ん中で、一人の人物が流す大量の涙によって、その足元だけがオアシスのように緑化しているが、砂漠全体には全く足りない。
2027/02/11,木,No.03241,地面に向かって降る太陽,空には月が輝いているのに、地平線や地面の裂け目に向かって、太陽が「降り注いでいる」かのように光が差し込んでいる逆さまの世界。
2027/02/12,金,No.03242,水中を歩く人々,人々が呼吸装置や潜水服なしで、まるで地上のように水中の都市を歩き、会話している。魚が空を飛ぶ鳥のように彼らの周りを泳いでいる。
2027/02/13,土,No.03243,眠ることでエネルギーを得る機械,工場に並ぶ巨大な機械群が、稼働を停止し「睡眠」モードに入っている。その間にバッテリーが充電されていく様子。
2027/02/14,日,No.03244,過去に向かって流れる川,川の水が上流（未来）から下流（過去）へと流れており、川岸の風景も下流に行くほど原始的（例：現代都市→城下町→恐竜時代）に変化していく。
2027/02/15,月,No.03245,音を吸収するスピーカー,ライブ会場に設置された巨大なスピーカー。しかし音楽を流すのではなく、会場の歓声や騒音をすべて吸い込み、完全な静寂を生み出している。
2027/02/16,火,No.03246,飛べない翼（防具になる）,天使や鳥のような美しい翼を持つ人々。しかしその翼は飛ぶためではなく、鋼鉄のように硬く、盾や鎧として機能している。
2027/02/17,水,No.03247,未来を映す水たまり,雨上がりの道端にある小さな水たまり。人々がそれを覗き込むと、水面には現在の風景ではなく、数分後や数日後の未来の出来事が映っている。
2027/02/18,木,No.03248,嘘を真実に変えるペン,ある作家が特別なペンで「空飛ぶ豚」と書くと、窓の外で本当に豚が空を飛び始める。書いた嘘が現実になる瞬間。
2027/02/19,金,No.03249,細胞分裂する都市,上空から見た都市が、まるで一つの巨大な細胞のように、中心から二つに分裂し、増殖して広がっていく様子。
2027/02/20,土,No.03250,ウイルスの形をした惑星,宇宙空間に浮かぶ惑星が、電子顕微鏡で見たウイルス（例：バクテリオファージ）の奇妙な形をしている。その表面には大陸や海が見える。
2027/02/21,日,No.03251,埃の中に広がる宇宙,部屋の隅に溜まった埃（ハウスダスト）を極端に拡大すると、その粒子一つ一つが星雲や銀河のように輝き、広大な宇宙空間を形成している。
2027/02/22,月,No.03252,人間の毛穴サイズの迷宮,人間の皮膚をマクロ撮影した画像。毛穴が巨大な洞窟の入り口のようになっており、その内部が複雑な迷宮（ダンジョン）になっている。
2027/02/23,火,No.03253,インターネットを発明した古代ギリシャ,パルテノン神殿のような古代ギリシャの建築物の中で、トガをまとった哲学者たちが、青銅製の端末や水力で動くサーバーを使って「インターネット」で議論している。
2027/02/24,水,No.03254,魔法が科学に勝利した産業革命,19世紀のロンドンの風景。蒸気機関車の代わりに、魔法の絨毯や箒が飛び交い、工場の動力源が蒸気ではなく、召喚されたエレメンタル（精霊）である。
2027/02/25,木,No.03255,月面着陸したレオナルド・ダ・ヴィンチ,レオナルド・ダ・ヴィンチが設計したような、木と帆でできた奇妙な宇宙船が月面に着陸しており、彼自身がルネサンス風の宇宙服を着て旗を立てている。
